movieId,movie_title,predict_rating
98958,Federico Fellini's Autobiography (Federico Fellini - un autoritratto ritrovato) (2000),5.0
144662,Marius (2013),5.0
156305,Keep 'Em Flying (1941),5.0
170229,My Brother's Keeper (2014),5.0
178779,Dissolved and Effused (1985),5.0
182521,Thakara (1979),5.0
159125,Anybody's Son Will Do,5.0
177609,We Are Mountains (1969),5.0
137018,A Sister's Revenge (2013),5.0
143438,Coming Home (2003),5.0
167666,The Capture of the Green River Killer (2008),5.0
173191,Neither Wolf Nor Dog,5.0
178475,Adua and Her Friends (1960),5.0
192823,Crime + Punishment (2018),5.0
117656,Drunken Master 3 (1994),5.0
139630,Autumn Tale (2000),5.0
163697,Siccîn (2014),5.0
165743,Bound & Babysitting (2015),5.0
173163,Titanic: The Final Word with James Cameron (2012),5.0
183271,Don't Think About White Monkeys (2008),5.0
105191,Rocaterrania (2009),5.0
114353,Heavyweights (Schwere Jungs) (2006),5.0
121503,Ator the Iron Warrior (1987),5.0
155106,The Elephant God (1979),5.0
115017,"Christmas Memory, A (Truman Capote's 'A Christmas Memory') (1997)",5.0
128713,Waltz Across Texas (1982),5.0
171773,Desmundo (2002),5.0
172025,Desirable (1934),5.0
179627,Die kluge Bauerntochter (2009),5.0
184903,Joy Road (2011),5.0
81322,Nicht alle waren Mörder (2006),5.0
144860,Fred Rogers: America's Favorite Neighbor (2004),5.0
180193,Podstrochnik (2009),5.0
81117,"Moth, The (Cma) (1980)",5.0
88471,"Caretakers, The (1963)",5.0
125071,Last Man Standing (2011),5.0
137022,A Nanny's Revenge (2012),5.0
138925,Dark Asylum (2001),5.0
167950,Bloodfist 2050 (2005),5.0
169554,Trevor Moore: High In Church (2015),5.0
185533,Nate and Hayes (1983),5.0
185637,Crítico (2008),5.0
188611,The Wicked (2014),5.0
180689,I've Heard the Mermaids Singing (1987),5.0
151793,My Last Year With The Nuns (2014),5.0
157641,Azit the Paratrooper Dog (1972),5.0
162022,The Mill on the Floss (1937),5.0
169338,Brad Williams: Daddy Issues (2016),5.0
123541,Geordie (1955),5.0
156162,The Jade Fox (1979),5.0
192695,In the Gloaming (1997),5.0
137028,"Augusta, Gone (2006)",5.0
168954,Flight of the Butterflies (2012),5.0
180585,The Man Who Came to Dinner (2000),5.0
180837,Tokyo Project (2017),5.0
187951,Father of Lights (2012),5.0
108672,America (2009),5.0
180273,Liberation: Direction of the Main Blow (1971),5.0
122589,Night Song (1947),5.0
140896,The Dark Side of Love (1984),5.0
151989,The Thorn (1971),5.0
87216,Kings of the Sun (1963),5.0
154514,LelleBelle (2010),5.0
178949,Entrails of a Beautiful Woman (1986),5.0
179625,Die Sterntaler (2011),5.0
193389,Sunstroke (2010),5.0
141434,My Friend Victoria (2014),5.0
181561,Cathnafola: A Paranormal Investigation (2015),5.0
183277,Einstein's God Model (2016),5.0
143422,2 (2007),5.0
151563,Fatima (2015),5.0
182489,12 Men of Christmas (2009),5.0
186749,Hichki (2018),5.0
