movieId,movie_title,predict_rating
148,"Awfully Big Adventure, An (1995)",5.0
496,What Happened Was... (1994),5.0
113829,"One I Love, The (2014)",5.0
157775,Tenchi Muyô! In Love (1996),5.0
4294,"5,000 Fingers of Dr. T, The (1953)",5.0
4957,Sudden Impact (1983),5.0
5513,Martin Lawrence Live: Runteldat (2002),5.0
173963,Empties (2007),5.0
25887,Tales of Manhattan (1942),5.0
633,Denise Calls Up (1995),5.0
84273,Zeitgeist: Moving Forward (2011),5.0
27373,61* (2001),5.0
53578,"Valet, The (La doublure) (2006)",5.0
118894,Scooby-Doo! Abracadabra-Doo (2010),5.0
110130,"Nut Job, The (2014)",5.0
160644,Indignation (2016),5.0
5490,The Big Bus (1976),5.0
6460,"Trial, The (Procès, Le) (1962)",5.0
114265,Laggies (2014),5.0
172583,Investigation Held by Kolobki (1986),5.0
126921,The Fox and the Hound 2 (2006),5.0
179133,Loving Vincent (2017),5.0
626,"Thin Line Between Love and Hate, A (1996)",5.0
147286,The Adventures of Sherlock Holmes and Doctor Watson: The Treasures of Agra (1983),5.0
26928,"Summer's Tale, A (Conte d'été) (1996)",5.0
40491,"Match Factory Girl, The (Tulitikkutehtaan tyttö) (1990)",5.0
60737,Watching the Detectives (2007),5.0
167064,I Am Not Your Negro (2017),5.0
25906,Mr. Skeffington (1944),5.0
79897,Get Low (2009),5.0
141928,Bloodsucking Bastards (2015),5.0
6201,Lady Jane (1986),5.0
95311,Presto (2008),5.0
3792,Duel in the Sun (1946),5.0
6254,"Awful Truth, The (1937)",5.0
84512,Girls About Town (1931),5.0
146684,Cosmic Scrat-tastrophe (2015),5.0
4526,My Stepmother Is an Alien (1988),5.0
6650,Kind Hearts and Coronets (1949),5.0
26401,Last Hurrah for Chivalry (Hao xia) (1979),5.0
121781,Stuart Little 3: Call of the Wild (2005),5.0
172793,Vovka in the Kingdom of Far Far Away (1965),5.0
136469,Larry David: Curb Your Enthusiasm (1999),5.0
6442,Belle époque (1992),5.0
72692,Mickey's Once Upon a Christmas (1999),5.0
48698,Deliver Us from Evil (2006),5.0
80124,Sisters (Syostry) (2001),5.0
158027,SORI: Voice from the Heart (2016),5.0
44851,Go for Zucker! (Alles auf Zucker!) (2004),5.0
136353,Scooby-Doo! and the Loch Ness Monster (2004),5.0
1785,King of New York (1990),5.0
59814,Ex Drummer (2007),5.0
3567,Bossa Nova (2000),5.0
109241,On the Other Side of the Tracks (De l'autre côté du périph) (2012),5.0
115122,What We Do in the Shadows (2014),5.0
134004,What Love Is (2007),5.0
3940,Slumber Party Massacre III (1990),5.0
86237,Connections (1978),5.0
44943,9/11 (2002),5.0
3073,"Sandpiper, The (1965)",5.0
27523,My Sassy Girl (Yeopgijeogin geunyeo) (2001),5.0
178827,Paddington 2 (2017),5.0
132333,Seve (2014),5.0
27704,Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka) (2003),5.0
120138,PK (2014),5.0
172909,Cheburashka (1971),5.0
2196,Knock Off (1998),5.0
26810,Bad Boy Bubby (1993),5.0
1934,You Can't Take It with You (1938),5.0
118834,National Lampoon's Bag Boy (2007),5.0
120130,Into the Forest of Fireflies' Light (2011),5.0
156025,Ice Age: The Great Egg-Scapade (2016),5.0
283,New Jersey Drive (1995),5.0
33564,Divorce - Italian Style (Divorzio all'italiana) (1961),5.0
71268,Tyler Perry's I Can Do Bad All by Myself (2009),5.0
6086,"I, the Jury (1982)",5.0
99636,English Vinglish (2012),5.0
47404,Mind Game (2004),5.0
47736,"Chump at Oxford, A (1940)",5.0
164367,The Girl with All the Gifts (2016),5.0
32387,"Sword of Doom, The (Dai-bosatsu tôge) (1966)",5.0
3473,Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000) (1976),5.0
74754,"Room, The (2003)",5.0
50999,"Ugly Duckling and Me!, The (2006)",5.0
141718,Deathgasm (2015),5.0
85295,Scooby-Doo! Curse of the Lake Monster (2010),5.0
2824,On the Ropes (1999),5.0
26147,"Thousand Clowns, A (1965)",5.0
173619,Fugitives (1986),5.0
131724,The Jinx: The Life and Deaths of Robert Durst (2015),5.0
163925,"Wings, Legs and Tails (1986)",5.0
173355,Travels of an Ant (1983),5.0
163112,Winnie the Pooh Goes Visiting (1971),5.0
53355,Sun Alley (Sonnenallee) (1999),5.0
138632,Tokyo Tribe (2014),5.0
93022,Miss Nobody (2010),5.0
138835,Return to Treasure Island (1988),5.0
140627,Battle For Sevastopol (2015),5.0
1151,Lesson Faust (1994),5.0
4441,Game of Death (1978),5.0
158398,World of Glory (1991),5.0
3086,Babes in Toyland (1934),5.0
143559,L.A. Slasher (2015),5.0
3074,Jeremiah Johnson (1972),5.0
5088,"Going Places (Valseuses, Les) (1974)",5.0
3637,Vagabond (Sans toit ni loi) (1985),5.0
1310,Hype! (1996),5.0
25947,Unfaithfully Yours (1948),5.0
91355,Asterix and the Vikings (Astérix et les Vikings) (2006),5.0
86721,Idiots and Angels (2008),5.0
184245,De platte jungle (1978),5.0
1696,Bent (1997),5.0
38388,Goal! The Dream Begins (Goal!) (2005),5.0
3687,Light Years (Gandahar) (1988),5.0
147410,A Perfect Day (2015),5.0
172875,A Detective Story (2003),5.0
185135,Sherlock - A Study in Pink (2010),5.0
2972,Red Sorghum (Hong gao liang) (1987),5.0
74226,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)",5.0
7767,"Best of Youth, The (La meglio gioventù) (2003)",5.0
131610,Willy/Milly (1986),5.0
6818,Come and See (Idi i smotri) (1985),5.0
140133,Hollywood Chainsaw Hookers (1988),5.0
6591,"Magdalene Sisters, The (2002)",5.0
33649,Saving Face (2004),5.0
136359,Scooby-Doo Goes Hollywood (1979),5.0
4495,Crossing Delancey (1988),5.0
158882,All Yours (2016),5.0
1545,Ponette (1996),5.0
5938,Deathtrap (1982),5.0
97866,"Imposter, The (2012)",5.0
64501,Che: Part Two (2008),5.0
84414,All-Star Superman (2011),5.0
143031,Jump In! (2007),5.0
96430,"Odd Life of Timothy Green, The (2012)",5.0
3496,Madame Sousatzka (1988),5.0
170597,A Plasticine Crow (1981),5.0
6122,Richard Pryor Live on the Sunset Strip (1982),5.0
6408,Animals are Beautiful People (1974),5.0
130970,George Carlin: Life Is Worth Losing (2005),5.0
467,Live Nude Girls (1995),5.0
4135,"Monster Squad, The (1987)",5.0
4180,Reform School Girls (1986),5.0
100906,Maniac Cop 2 (1990),5.0
109687,Particle Fever (2013),5.0
2851,Saturn 3 (1980),5.0
4142,Left Behind: The Movie (2000),5.0
389,"Colonel Chabert, Le (1994)",5.0
77846,12 Angry Men (1997),5.0
2512,"Ballad of Narayama, The (Narayama bushiko) (1983)",5.0
102084,Justice League: Doom (2012),5.0
166183,Junior and Karlson (1968),5.0
3771,The Golden Voyage of Sinbad (1973),5.0
26169,Branded to Kill (Koroshi no rakuin) (1967),5.0
5468,20 Million Miles to Earth (1957),5.0
134796,Bitter Lake (2015),5.0
176601,Black Mirror,5.0
136355,Big Top Scooby-Doo! (2012),5.0
96832,Holy Motors (2012),5.0
95175,Front of the Class (2008),5.0
3851,I'm the One That I Want (2000),5.0
3531,All the Vermeers in New York (1990),5.0
136447,George Carlin: You Are All Diseased (1999),5.0
95843,Goodbye Charlie (1964),5.0
165959,Alesha Popovich and Tugarin the Dragon (2004),5.0
175293,Gena the Crocodile (1969),5.0
147328,The Adventures of Sherlock Holmes and Dr. Watson: Bloody Signature (1979),5.0
149350,Lumberjack Man (2015),5.0
3678,"Man with the Golden Arm, The (1955)",5.0
95149,Superman/Batman: Public Enemies (2009),5.0
7121,Adam's Rib (1949),5.0
26849,"Stand, The (1994)",5.0
147326,The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers (1980),5.0
8804,"Story of Women (Affaire de femmes, Une) (1988)",5.0
109968,Why Don't You Play In Hell? (Jigoku de naze warui) (2013),5.0
3303,Black Tar Heroin: The Dark End of the Street (2000),5.0
4406,"Man Who Shot Liberty Valance, The (1962)",5.0
139640,Ooops! Noah is Gone... (2015),5.0
5637,Flirting (1991),5.0
1140,Entertaining Angels: The Dorothy Day Story (1996),5.0
2330,Hands on a Hard Body (1996),5.0
5241,Seems Like Old Times (1980),5.0
27751,'Salem's Lot (2004),5.0
51709,"Host, The (Gwoemul) (2006)",5.0
134095,My Love (2006),5.0
1631,"Assignment, The (1997)",5.0
107771,Only Lovers Left Alive (2013),5.0
142020,Oscar (1967),5.0
5279,Impromptu (1991),5.0
31522,"Marriage of Maria Braun, The (Ehe der Maria Braun, Die) (1979)",5.0
78836,Enter the Void (2009),5.0
940,"Adventures of Robin Hood, The (1938)",5.0
7071,"Woman Under the Influence, A (1974)",5.0
117531,Watermark (2014),5.0
1105,Children of the Corn IV: The Gathering (1996),5.0
4634,Penn & Teller Get Killed (1989),5.0
163386,Winnie the Pooh and the Day of Concern (1972),5.0
96935,My Left Eye Sees Ghosts (Ngo joh aan gin diy gwai) (2002),5.0
64499,Che: Part One (2008),5.0
117192,Doctor Who: The Time of the Doctor (2013),5.0
5244,Shogun Assassin (1980),5.0
6945,My Architect: A Son's Journey (2003),5.0
26078,Advise and Consent (1962),5.0
172637,Priklyucheniya Kapitana Vrungelya (1979),5.0
5607,"Son of the Bride (Hijo de la novia, El) (2001)",5.0
149508,Spellbound (2011),5.0
1437,"Cement Garden, The (1993)",5.0
132153,Buzzard (2015),5.0
136503,Tom and Jerry: Shiver Me Whiskers (2006),5.0
5746,Galaxy of Terror (Quest) (1981),5.0
26073,"Human Condition III, The (Ningen no joken III) (1961)",5.0
162414,Moonlight,5.0
1112,Palookaville (1996),5.0
102217,Bill Hicks: Revelations (1993),5.0
3951,Two Family House (2000),5.0
145994,Formula of Love (1984),5.0
99,Heidi Fleiss: Hollywood Madam (1995),5.0
1836,"Last Days of Disco, The (1998)",5.0
6611,Umberto D. (1952),5.0
131237,What Men Talk About (2010),5.0
3939,Slumber Party Massacre II (1987),5.0
27320,"Nine Lives of Tomas Katz, The (2000)",5.0
136341,Scooby-Doo! and the Samurai Sword (2009),5.0
93320,Trailer Park Boys (1999),5.0
3729,Shaft (1971),5.0
147330,Sherlock Holmes and Dr. Watson: Acquaintance (1979),5.0
128914,Tom Segura: Completely Normal (2014),5.0
5833,Dog Soldiers (2002),5.0
26587,"Decalogue, The (Dekalog) (1989)",5.0
3846,Easy Money (1983),5.0
5745,"Four Seasons, The (1981)",5.0
movieId,movie_title,predict_rating
31364,Memories of Murder (Salinui chueok) (2003),4.833333333333333
2131,Autumn Sonata (Höstsonaten) (1978),4.833333333333333
7842,Dune (2000),4.833333333333333
movieId,movie_title,predict_rating
3451,Guess Who's Coming to Dinner (1967),4.785714285714286
movieId,movie_title,predict_rating
32460,Knockin' on Heaven's Door (1997),4.75
2563,Dangerous Beauty (1998),4.75
30745,Gozu (Gokudô kyôfu dai-gekijô: Gozu) (2003),4.75
26528,Anne of Green Gables (1985),4.75
74282,Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987),4.75
172591,The Godfather Trilogy: 1972-1990 (1992),4.75
171011,Planet Earth II (2016),4.75
6375,Gigantic (A Tale of Two Johns) (2002),4.75
73881,3 Idiots (2009),4.75
3075,Repulsion (1965),4.75
92535,Louis C.K.: Live at the Beacon Theater (2011),4.75
32582,"Wild Parrots of Telegraph Hill, The (2003)",4.75
5404,84 Charing Cross Road (1987),4.75
6051,"Harder They Come, The (1973)",4.75
5772,My Dinner with André (1981),4.75
126430,The Pacific (2010),4.75
6235,Europa Europa (Hitlerjunge Salomon) (1990),4.75
5387,Enough (2002),4.75
64197,Hunger (2008),4.75
1041,Secrets & Lies (1996),4.75
174053,Black Mirror: White Christmas (2014),4.75
7486,Happy Together (a.k.a. Buenos Aires Affair) (Chun gwong cha sit) (1997),4.75
4298,Rififi (Du rififi chez les hommes) (1955),4.75
147382,Doctor Who: Voyage Of The Damned (2007),4.75
44889,Reefer Madness: The Movie Musical (2005),4.75
104069,Louis C.K.: Oh My God (2013),4.75
123,Chungking Express (Chung Hing sam lam) (1994),4.75
59141,Son of Rambow (2007),4.75
movieId,movie_title,predict_rating
2924,Drunken Master (Jui kuen) (1978),4.7
movieId,movie_title,predict_rating
8042,Mean Streets (1973),4.666666666666667
26258,"Topo, El (1970)",4.666666666666667
86781,Incendies (2010),4.666666666666667
1733,Afterglow (1997),4.666666666666667
6345,"Chorus Line, A (1985)",4.666666666666667
1949,"Man for All Seasons, A (1966)",4.666666666666667
177593,"Three Billboards Outside Ebbing, Missouri (2017)",4.666666666666667
86504,Voices from the List (2004),4.666666666666667
106642,"Day of the Doctor, The (2013)",4.666666666666667
3224,Woman in the Dunes (Suna no onna) (1964),4.666666666666667
movieId,movie_title,predict_rating
4642,Hedwig and the Angry Inch (2000),4.642857142857143
8132,Gladiator (1992),4.625
1683,"Wings of the Dove, The (1997)",4.625
38304,No Direction Home: Bob Dylan (2005),4.625
55167,Tekkonkinkreet (Tekkon kinkurîto) (2006),4.625
1927,All Quiet on the Western Front (1930),4.6
2239,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),4.6
1178,Paths of Glory (1957),4.583333333333333
movieId,movie_title,predict_rating
3152,"Last Picture Show, The (1971)",4.571428571428571
2360,"Celebration, The (Festen) (1998)",4.5625
6658,10 (1979),4.5
76143,"Bone Man, The (Der Knochenmann) (2009)",4.5
91784,Girl Walks Into a Bar (2011),4.5
5614,"His Secret Life (a.k.a. Ignorant Fairies, The) (Fate ignoranti, Le) (2001)",4.5
31435,Rory O'Shea Was Here (Inside I'm Dancing) (2004),4.5
80906,Inside Job (2010),4.5
26736,Riki-Oh: The Story of Ricky (Lik Wong) (1991),4.5
4307,"Fast Food, Fast Women (2000)",4.5
103883,2 Guns (2013),4.5
804,She's the One (1996),4.5
48872,13 Tzameti (2005),4.5
6376,Respiro (2002),4.5
67888,Man on the Flying Trapeze (1935),4.5
104875,"History of Future Folk, The (2012)",4.5
44777,Evil Aliens (2005),4.5
104129,Man of Tai Chi (2013),4.5
1226,"Quiet Man, The (1952)",4.5
27328,Monday (2000),4.5
177939,"The Night Is Short, Walk on Girl (2017)",4.5
168846,Neal Brennan: 3 Mics (2017),4.5
170697,Gifted (2017),4.5
182731,Pixel Perfect (2004),4.5
7184,This Property is Condemned (1966),4.5
46855,Army of Shadows (L'armée des ombres) (1969),4.5
5965,"Duellists, The (1977)",4.5
8656,"Short Film About Killing, A (Krótki film o zabijaniu) (1988)",4.5
26048,"Human Condition II, The (Ningen no joken II) (1959)",4.5
127212,The Stanford Prison Experiment (2015),4.5
103980,Blue Jasmine (2013),4.5
175435,The Magic Ring (1982),4.5
4267,One Night at McCool's (2001),4.5
5764,Looker (1981),4.5
70708,Tetro (2009),4.5
140038,Madly in Love (1981),4.5
4200,Double Impact (1991),4.5
86892,The Man from Nowhere (2010),4.5
110330,Me and you (io e te) (2012),4.5
180497,The Post (2017),4.5
7940,The Magician (1958),4.5
62208,"Sound of the Mountain (Thunder of the Mountain, The) (Yama no oto) (1954)",4.5
157110,00 Schneider - Jagd auf Nihil Baxter (1994),4.5
3353,"Closer You Get, The (2000)",4.5
107408,Only Old Men Are Going to Battle (V boy idut odni stariki) (1973),4.5
105540,"All Dogs Christmas Carol, An (1998)",4.5
7216,High Sierra (1941),4.5
117646,Dragonheart 2: A New Beginning (2000),4.5
3200,"Last Detail, The (1973)",4.5
50613,Dead Meat (2004),4.5
25769,"Steamboat Bill, Jr. (1928)",4.5
142831,Garam Masala (2005),4.5
665,Underground (1995),4.5
3379,On the Beach (1959),4.5
93988,North & South (2004),4.5
112334,"Internet's Own Boy: The Story of Aaron Swartz, The (2014)",4.5
26554,"Quiet Earth, The (1985)",4.5
55020,"Ten, The (2007)",4.5
72178,Welcome to Dongmakgol (2005),4.5
73854,"Rudolph, the Red-Nosed Reindeer (1964)",4.5
581,"Celluloid Closet, The (1995)",4.5
7212,I Was a Male War Bride (1949),4.5
27156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",4.5
141844,12 Chairs (1971),4.5
86487,Mildred Pierce (2011),4.5
148632,Applesauce (2015),4.5
142550,Ryuzo and the Seven Henchmen (2015),4.5
8484,"Human Condition I, The (Ningen no joken I) (1959)",4.5
51167,My Father and My Son (Babam ve oglum) (2005),4.5
57843,Rise of the Footsoldier (2007),4.5
107462,Ninja: Shadow of a Tear (2013),4.5
69134,Antichrist (2009),4.5
123200,Jim Jefferies: I Swear to God (2009),4.5
109161,Venus in Fur (La Vénus à la fourrure) (2013),4.5
6579,"One, Two, Three (1961)",4.5
8800,Code 46 (2003),4.5
40412,Dead Man's Shoes (2004),4.5
188751,Mamma Mia: Here We Go Again! (2018),4.5
8405,Hour of the Wolf (Vargtimmen) (1968),4.5
147376,Doctor Who: A Christmas Carol (2010),4.5
2351,"Nights of Cabiria (Notti di Cabiria, Le) (1957)",4.5
72104,Balance (1989),4.5
144976,Bone Tomahawk (2015),4.5
44931,Secrets of a Soul (Geheimnisse einer Seele) (1926),4.5
5817,Ararat (2002),4.5
4157,"Price of Milk, The (2000)",4.5
150696,Tomorrow (2015),4.5
58309,War Dance (2007),4.5
93006,"Very Potter Musical, A (2009)",4.5
107412,"Kidnapping, Caucasian Style (Kavkazskaya plennitsa) (1967)",4.5
152105,Dad's Army (1971),4.5
162602,The Girl on the Train (2016),4.5
7037,High Heels (Tacones lejanos) (1991),4.5
116411,Tangerines (2013),4.5
180777,Die Frauen von Ravensbrück (2005),4.5
8477,"Jetée, La (1962)",4.5
1192,Paris Is Burning (1990),4.5
5385,"Last Waltz, The (1978)",4.5
183317,Patti Rocks (1988),4.5
3097,"Shop Around the Corner, The (1940)",4.5
167018,Why Him? (2016),4.5
174909,Logan Lucky (2017),4.5
2984,On Any Sunday (1971),4.5
6568,Camp (2003),4.5
32456,"Pom Poko (a.k.a. Raccoon War, The) (Heisei tanuki gassen pompoko) (1994)",4.5
78620,"Scalphunters, The (1968)",4.5
3341,Born Yesterday (1950),4.5
2801,Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997),4.5
4393,Another Woman (1988),4.5
27176,Style Wars (1983),4.5
160718,Piper (2016),4.5
44633,"Devil and Daniel Johnston, The (2005)",4.5
130840,Spring (2015),4.5
25886,Random Harvest (1942),4.5
86290,American: The Bill Hicks Story (2009),4.5
4956,"Stunt Man, The (1980)",4.5
128991,Johnny Express (2014),4.5
26184,"Diamond Arm, The (Brilliantovaya ruka) (1968)",4.5
177185,Maz Jobrani: Immigrant (2017),4.5
3330,Splendor in the Grass (1961),4.5
89939,Gigi (1949),4.5
98154,Lincoln (2012),4.5
27776,Red Lights (Feux rouges) (2004),4.5
68848,"Brothers Bloom, The (2008)",4.5
3003,Train of Life (Train de vie) (1998),4.5
5288,"Atomic Cafe, The (1982)",4.5
108727,Nymphomaniac: Volume I (2013),4.5
167380,A Dog's Purpose (2017),4.5
159161,Ali Wong: Baby Cobra (2016),4.5
3068,"Verdict, The (1982)",4.5
134326,The Taming of the Scoundrel (1980),4.5
84844,Brother 2 (Brat 2) (2000),4.5
113252,Housebound (2014),4.5
165551,Lion (2016),4.5
1406,La Cérémonie (1995),4.5
49772,"Painted Veil, The (2006)",4.5
6217,"Safety of Objects, The (2001)",4.5
27370,Late Night Shopping (2001),4.5
90374,Martha Marcy May Marlene (2011),4.5
180265,Jim & Andy: The Great Beyond (2017),4.5
27368,Asterix & Obelix: Mission Cleopatra (Astérix & Obélix: Mission Cléopâtre) (2002),4.5
58425,Heima (2007),4.5
2206,Suspicion (1941),4.5
27869,Tae Guk Gi: The Brotherhood of War (Taegukgi hwinalrimyeo) (2004),4.5
